id,date,date_unixtime,edited,edited_unixtime,text_bold,text_plain,text_hashtag,text_string
22827,2022-08-24 23:00:45,1661371245,,,🟡 23:00  Відбій тривоги в Миколаївська область.,,#Миколаївська_область,"Зверніть увагу, тривога ще триває у:
- Кривоозерська територіальна громада
- м. Вознесенськ та Вознесенська територіальна громада"
22828,2022-08-24 23:02:40,1661371360,,,🟢 23:02 Відбій тривоги в м. Вознесенськ та Вознесенська територіальна громада.,,#м_Вознесенськ_та_Вознесенська_територіальна_громада,Слідкуйте за подальшими повідомленнями.
22829,2022-08-24 23:07:39,1661371659,,,🟢 23:07 Відбій тривоги в Кривоозерська територіальна громада.,,#Кривоозерська_територіальна_громада,Слідкуйте за подальшими повідомленнями.
22830,2022-08-25 02:07:48,1661382468,,,🔴 02:07 Повітряна тривога в Полтавська область,,#Полтавська_область,Слідкуйте за подальшими повідомленнями.
22831,2022-08-25 02:08:19,1661382499,,,🔴 02:08 Повітряна тривога в Дніпропетровська область,,#Дніпропетровська_область,Слідкуйте за подальшими повідомленнями.
22832,2022-08-25 02:08:25,1661382505,,,🔴 02:08 Повітряна тривога в Запорізька область,,#Запорізька_область,Слідкуйте за подальшими повідомленнями.
22833,2022-08-25 02:46:12,1661384772,,,🟢 02:46 Відбій тривоги в Полтавська область.,,#Полтавська_область,Слідкуйте за подальшими повідомленнями.
22834,2022-08-25 02:46:15,1661384775,,,🔴 02:46 Повітряна тривога в Чернігівська область,,#Чернігівська_область,Слідкуйте за подальшими повідомленнями.
22835,2022-08-25 02:46:20,1661384780,,,🟢 02:46 Відбій тривоги в Дніпропетровська область.,,#Дніпропетровська_область,Слідкуйте за подальшими повідомленнями.
22836,2022-08-25 02:46:28,1661384788,,,🔴 02:46 Повітряна тривога в м. Київ,,#м_Київ,Слідкуйте за подальшими повідомленнями.
22837,2022-08-25 02:46:44,1661384804,,,🟢 02:46 Відбій тривоги в Запорізька область.,,#Запорізька_область,Слідкуйте за подальшими повідомленнями.
22838,2022-08-25 02:48:15,1661384895,,,🔴 02:48 Повітряна тривога в Київська область,,#Київська_область,Слідкуйте за подальшими повідомленнями.
22839,2022-08-25 03:19:27,1661386767,,,🔴 03:19 Повітряна тривога в Житомирська область,,#Житомирська_область,Слідкуйте за подальшими повідомленнями.
22840,2022-08-25 03:20:27,1661386827,,,🔴 03:20 Повітряна тривога в Вінницька область,,#Вінницька_область,Слідкуйте за подальшими повідомленнями.
22841,2022-08-25 03:23:46,1661387026,,,🔴 03:23 Повітряна тривога в Миколаївська область,,#Миколаївська_область,Слідкуйте за подальшими повідомленнями.
22842,2022-08-25 03:26:35,1661387195,,,🔴 03:26 Повітряна тривога в м. Вознесенськ та Вознесенська територіальна громада,,#м_Вознесенськ_та_Вознесенська_територіальна_громада,Слідкуйте за подальшими повідомленнями.
22843,2022-08-25 03:28:48,1661387328,,,🔴 03:28 Повітряна тривога в Херсонська область,,#Херсонська_область,Слідкуйте за подальшими повідомленнями.
22844,2022-08-25 03:29:33,1661387373,,,🔴 03:29 Повітряна тривога в Кривоозерська територіальна громада,,#Кривоозерська_територіальна_громада,Слідкуйте за подальшими повідомленнями.
22845,2022-08-25 03:30:10,1661387410,,,🔴 03:30 Повітряна тривога в Одеська область,,#Одеська_область,Слідкуйте за подальшими повідомленнями.
22846,2022-08-25 03:33:50,1661387630,,,🟢 03:33 Відбій тривоги в м. Київ.,,#м_Київ,Слідкуйте за подальшими повідомленнями.
22847,2022-08-25 03:34:28,1661387668,,,🟢 03:34 Відбій тривоги в Житомирська область.,,#Житомирська_область,Слідкуйте за подальшими повідомленнями.
22848,2022-08-25 03:35:30,1661387730,,,🟢 03:35 Відбій тривоги в Київська область.,,#Київська_область,Слідкуйте за подальшими повідомленнями.
22849,2022-08-25 03:36:01,1661387761,,,🟢 03:36 Відбій тривоги в Чернігівська область.,,#Чернігівська_область,Слідкуйте за подальшими повідомленнями.
22850,2022-08-25 03:38:49,1661387929,,,🟢 03:38 Відбій тривоги в Вінницька область.,,#Вінницька_область,Слідкуйте за подальшими повідомленнями.
